trans_id,trans_dttm,act_id,act_ref_id,act_type_id,act_type_cd,act_type,act_strt_dttm,act_end_dttm,cust_id,cust_ref_int_id,cust_nm,locn_id,locn_cd,locn_nm,bsn_unit_id,bsn_unit_cd,bsn_unit_nm,chnl_id,chnl_cd,chnl_nm,tch_pnt_id,tch_pnt_cd,tch_pnt_nm,identf_type,inentif_val,batch_run_id,job_run_id,src_sys_id,src_sys_nm,tenant_id,rec_creat_by,rec_creat_dttm
19880204100003,1988-02-04 21:39:00,19880204103200003,CD1988020410103200003,12090001,CD12090001,INTERACTION,1988-02-04 21:23:00,1988-02-04 21:39:00,CUST100003,100003,Rowan Morris,100003,LCN_100003,N_LCN_A00003,100031,BSN_100031,AREA00031,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 21:39:00
19880204100009,1988-02-04 22:11:42,19880204103200009,CD1988020410103200009,12090001,CD12090001,INTERACTION,1988-02-04 22:21:00,1988-02-04 22:11:42,CUST100009,100009,Tia Hopper,100005,LCN_100005,N_LCN_A00005,100023,BSN_100023,AREA00023,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 22:11:42
19880204100014,1988-02-04 22:28:38,19880204103200014,CD1988020410103200014,12090001,CD12090001,INTERACTION,1988-02-04 23:11:00,1988-02-04 22:28:38,CUST100014,100014,Avah Woodard,100005,LCN_100005,N_LCN_A00005,100009,BSN_100009,AREA00009,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 22:28:38
19880204100002,1988-02-04 22:43:26,19880204103200002,CD1988020410103200002,12090001,CD12090001,INTERACTION,1988-02-04 21:19:00,1988-02-04 22:43:26,CUST100002,100002,Zane Harrison,100005,LCN_100005,N_LCN_A00005,100025,BSN_100025,AREA00025,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 22:43:26
19880204100018,1988-02-04 22:50:58,19880204103200018,CD1988020410103200018,12090001,CD12090001,INTERACTION,1988-02-04 23:49:00,1988-02-04 22:50:58,CUST100018,100018,Tripp Payne,100008,LCN_100008,N_LCN_A00008,100005,BSN_100005,AREA00005,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 22:50:58
19880204100017,1988-02-04 22:49:18,19880204103200017,CD1988020410103200017,12090001,CD12090001,INTERACTION,1988-02-04 23:39:00,1988-02-04 22:49:18,CUST100017,100017,Lincoln Patton,100012,LCN_100012,N_LCN_A00012,100025,BSN_100025,AREA00025,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 22:49:18
19880204100001,1988-02-04 23:05:16,19880204103300001,CD1988020410103300001,12090002,CD12090002,TRANSACTION,1988-02-04 21:11:00,1988-02-04 23:05:16,CUST100001,100001,Victoria Santana,100001,LCN_100001,N_LCN_A00001,100025,BSN_100025,AREA00025,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 23:05:16
19880204100001,1988-02-04 23:05:22,19880204103400001,CD1988020410103400001,12090003,CD12090003,SERVICE REQUEST,1988-02-04 21:11:00,1988-02-04 23:05:22,CUST100001,100001,Victoria Santana,200012,WEB_200012,N_WEB_A00012,200022,BSN_200022,SITE00022,380015,CD380015,IVR,200005,CD200005,Contact Center,,,,,SRC1,,100001,,1988-02-04 23:05:22
19880204100001,1988-02-04 23:05:22,19880204103200001,CD1988020410103200001,12090003,CD12090003,SERVICE REQUEST,1988-02-04 21:11:00,1988-02-04 23:05:22,CUST100001,100001,Victoria Santana,200012,WEB_200012,N_WEB_A00012,200022,BSN_200022,SITE00022,380015,CD380015,IVR,200005,CD200005,Contact Center,,,,,SRC1,,100001,,1988-02-04 23:05:22
19880204100022,1988-02-04 23:12:32,19880204103200022,CD1988020510103200022,12090001,CD12090001,INTERACTION,1988-02-05 00:39:00,1988-02-04 23:12:32,CUST100022,100022,Cade Brown,100004,LCN_100004,N_LCN_A00004,100049,BSN_100049,AREA00049,380013,CD380013,Geo-Spatial,200004,CD200004,In-Store,,,,,SRC1,,100001,,1988-02-04 23:12:32
